venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Scout Ventures,"Scout Ventures invests in early-stage companies focused on cybersecurity, enterprise SaaS and frontier technology including AR/VR, AI, drones, robotics, autonomous mobility, and IoT.", ,2009,blog.scoutventures.com ,scoutventures.com,@scoutventures,New York City 
OS Fund,"A venture capital and private equity firm commercializing discoveries in genomics, synthetic biology, artificial intelligence, precision automation, and new materials development.", , , ,osfund.co,@osfund,"Park Ridge, Illinois "
Matrix Partners India,"Matrix Partners India invests in companies in sectors of consumer technology, business-to-business, enterprise, and financial technology.", ,1-Jun-06,matrixpartners.in/blog ,matrixpartners.in,@matrixindiavc,"Port Louis Bangalore Delhi Mumbai Boston Palo Alto, California San Francisco Beijing Shanghai "
Shell Ventures,Shell Ventures invests in companies to speed up development and deployment of new technologies which complement the business., , , ,shell.com/energy-and...es.html,@shell,Rijswijk 
Rebel Venture Fund,Rebel Venture Fund is a student-led venture capital fund of University of Nevada Las Vegas. It invests in companies in Southern Nevada., ,2013,rebelventurefund.com/journal ,rebelventurefund.com,@rebel_venture,Las Vegas 
Deep Fork Capital,Deep Fork Capital (DFC) is a $30m seed-focused venture capital fund., ,1-Jan-08, ,deepforkcapital.com,@deepforkcapital,New York City Oklahoma City San Francisco 
AmorChem,"AmorChem is an early-stage, venture capital fund focused on creating life science companies.", , , ,amorchem.com,@amorchem,Montreal Canada 
Swisscom,Swisscom is a telecommunication company that is interested in leading IT companies, , , ,swisscom.ch,@Swisscom,Ittigen 
Amgen Ventures,Amgen Ventures is a California-based investment firm focused on early- and late-stage biotechnology companies., ,2004, ,amgenbd.com/aboutamgen,@amgen,"San Francisco Seattle Thousand Oaks, California Cambridge, Massachusetts "
Green D Ventures,"Green D Ventures is a Bedford, New Hampshire-based venture capital company.", , , ,greendventures.com,@avgfunds,"Bedford, New Hampshire "
Converge Venture Partners (formerly Common Angels),"Converge Venture Partners is a Cambridge, Massachusetts based venture capital firm investing in software, internet, digital media, cloud technology and artificial intelligence.", , , ,convergevp.com,@@convergevp,Boston 
Morningside Group,Morningside Group is an Hong Kong-based company founded in 1986., ,1986, ,morningside.com, ,Hong Kong 
Bain Capital Credit,"Bain Capital Credit, formerly Sankaty Advisors, is a private manager of fixed income and credit", ,1998, ,sankaty.com,@baincapital,Boston Chicago New York City London 
Foundry Group,A Boulder-based venture capital firm that invests in companies within the information technology sector, ,2007,foundrygroup.com/blog/ ,foundrygroup.com,@foundrygroup,"Boulder Boulder, Colorado "
Oxeon Partners,Oxeon Partners invests in companies in the healthcare industry., ,2011, ,oxeonpartners.com,@oxeonpartners,New York City Seattle 
Atomico,"Atomico is a venture capital firm headquartered in London, England founded by Niklas Zennstro?m in 2006, making series A and onwards investments in technology companies. ", , , ,atomico.com,@atomico,London 
Greenspring Associates,U.S-based venture capital firm providing investment for venture capital firms as well as startups., , , ,greenspringassociates.com,@greenspringvc,"Owings Mills, Maryland Palo Alto, California "
Dreamers Fund,"A venture capital firm founded in 2018 by Will Smith, Keisuke Honda, Kosaku Yada, and Takeshi Nakanishi that is headquartered in Los Angeles, California. ", , , , , ,Los Angeles California United States 
Mercia Fund Management,Mercia Fund Management is a Henley-in-Arden based venture capital firm focused on investing in early-stage technology start-ups located in the West Midlands., ,2010, ,merciafund.co.uk,@mercia_plc,Henley-in-Arden United Kingdom 
Cachette Capital Management,Global Fund of Funds investing globally in early stage VC firms., , , ,cachettecapital.com,@cachettecapital,Zürich Amsterdam 
Columbia Technology Ventures,Columbia Technology Ventures engages in the facilitation of technology transfer services for the Columbia University., ,1982, ,techventures.columbia.edu,@Columbia_Tech,New York City 
Lowercase Capital,Lowercase Capital is a venture fund based in San Francisco., , , ,lowercasecapital.com,@lowercase,San Francisco 
CRCM Ventures,"CRCM invests in early-stage companies focused on consumer, frontier technology, health, and financial technology in China and the United States.", ,2006, ,crcmventures.com/crcm/,@crcmventures,San Francisco 
In-Q-Tel,"In-Q-Tel (IQT), formerly Peleus and known as In-Q-It, is an American not-for-profit venture capital firm based in Arlington, Virginia. It invests in high-tech companies for the sole purpose of keeping the Central Intelligence Agency, and other intelligence agencies, equipped with the latest in information technology.", ,29-Sep-99, ,iqt.org, ,"Arlington County, Virginia "
Trinity Ventures,"Trinity Ventures is a VC firm investing in early-stage technology companies focused on consumer services, SaaS, and cloud.", , , ,trinityventures.com,@trinityventures,San Francisco 
Lightstone Ventures,Lightstone Ventures is a leading global venture capital firm., , , ,lightstonevc.com, ,"Menlo Park, California Boston Dublin Singapore "
Advent International,Advent International is an American global private equity firm., ,1984, ,adventinternational.com,@adventintl,"Boston New York City Palo Alto, California Lima Madrid London Mumbai Luxembourg Mexico City Frankfurt Hong Kong Shanghai São Paulo Bogotá Paris "
NewVenture Partners,"NewVenture Partners is a Murray Hill, New Jersey-based venture capital company founded in 2001.", ,2001, ,newventurepartners.com,@nvpllc,"Murray Hill, New Jersey "
Pear (venture capital),U.S-based venture capital firm funding early stage companies., , ,medium.com/@pearvc ,pear.vc,@pearvc,"Palo Alto, California "
ENIAC Ventures,U.S-based venture capital firm investing on startup on seed and early-stages. , ,2010,medium.com/@eniacvc ,eniac.vc,@eniacventures,San Francisco New York City 
Rincon Venture Partners,"Rincon Venture Partners is a Santa Barbara, California-based venture capital company founded in 2005.", ,2005, ,rinconvp.com,@rinconvp,"Santa Barbara, California "
Frontier Growth,"Frontier Growth is a Charlotte, North Carolina-based venture capital company founded in 1999.", ,1999, ,frontiercapital.com,@TheFrontierTeam,"Charlotte, North Carolina "
BIP Wealth,BIP Wealth is an Atlanta-based company founded in 2007., ,2007, ,buckheadinvestments.com,@bipwealth,Atlanta 
Bull City Venture Partners,"Bull City Venture Partners is a venture capital firm specializing in investments in early, seed, startups, and growth-stage companies.", , ,bcvp.com ,bcvp.com,@bcvp,"Durham, North Carolina "
Benchmark (venture capital),"Benchmark is an American venture capital firm invests in social, mobile, local and cloud companies.",Peter Fenton (venture capitalist) Bill Gurley Matt Cohler Mitch Lasky Sarah Tavel Eric Vishria Chetan Puttagunta ,1995, ,benchmark.com,@benchmark,"Menlo Park, California San Francisco "
Capricorn Venture Partners,"Capricorn Venture Partners invests in European clean technology, health technology, and ICT companies.", ,1993, ,capricorn.be, ,Leuven 
Compound,Compound is an NYC based venture capital firm that invests in early-stage startups., ,2006, ,getcompound.com,@compoundvc,New York City 
ARTIS Ventures,ARTIS Ventures is a venture capital firm invests in companies with technological innovation., ,2001,artisventures.com/blog/ ,av.co,@ArtisVentures,San Francisco 
Khosla Ventures,"Khosla Ventures is a venture capital firm investing in companies operating in a diverse range of technology sectors such as energy, transportation, space, financial, software, hardware, big data, agriculture, food, education, and materials. Khosla Ventures is headquartered in Menlo Park, California, and was founded by Vinod Khosla in 2004. ", , , ,khoslaventures.com,@khoslaventures,"Menlo Park, California "
Fresco Capital,"Fresco Capital is an early-stage venture fund investing in technology companies focused on education, healthcare, and the future of work.", ,Feb-11,medium.com/fusion-by...co-capital ,fresco.vc,@frescocap,Hong Kong San Francisco Tokyo 
SoftBank Ventures Asia,"The corporate venture capital arm of SoftBank Group specializes in investing in information technology, robotics, Internet of Things (IoT), and artificial intelligence companies. ", , ,blog.softbank.co.kr ,softbank.co.kr,@softbankkorea,Seoul 
UMC Capital,UMC Capital was established in February 2001 as the direct investment arm of world leading semiconductor foundry UMC., ,1-Feb-01, ,umccapital.com, ,"Taipei Shanghai Sunnyvale, California "
Split Rock Partners,"Split Rock Partners is a Eden Prairie, Minnesota-based company founded in 2004.", ,2004, ,splitrock.com, ,"Eden Prairie, Minnesota "
Danhua Capital,DHVC is a California-based venture capital fund investing primarily in early-stage technology companies., ,2013, ,danhuacap.com, ,"Palo Alto, California "
Chalmers Ventures,Chalmers Ventures is a Sweden-based company founded in 1999., ,1999, ,chalmersventures.com,@chalmersventure,Sweden 
Top Tier Capital Partners,"Top Tier Capital Partners is a venture capital fund founded in 1999 that is headquartered in San Francisco, California. ", ,1999, ,ttcp.com,@ttcp_sf,San Francisco California United States 
Brooklyn Bridge Ventures,"A seed-stage investment fund based in Brooklyn, NY.", , , ,brooklynbridge.vc,@bbdotvc,Brooklyn New York City 
NXT Capital,NXT Capital is a Chicago based commercial finance company., , , ,nxtcapital.com,@NXTCapitalVF,"Chicago Atlanta Dallas Los Angeles New York City Phoenix, Arizona "
Accel Partners,Venture capital firm based in Palo Alto, , ,medium.com/accel-insights ,accel.com,@accel,"Palo Alto, California "
Bryant Stibel,"Bryant Stibel is a venture capital vehicle, focusing on the convergence of technology, media and data.", , , ,bryantstibel.com,@bryantstibel,"Malibu, California "
Queens Bridge Venture Partners,"QueensBridge Venture Partners is a Los Angeles based venture capital firm founded by Nasir ""Nas"" Jones, Anthony Saleh, Ajay Relan, Dee Murthy, Anand Murthy and Craig Vaughan. They invest in early-stage technology companies.", ,2014, ,qbvp.com,@qbvp,Los Angeles California 
USVP,"USVP or U.S. Venture Partners is a VC firm investing in SaaS, cloud, security, consumer, healthcare technology companies.", ,1981, ,usvp.com,@usvp_,"Menlo Park, California "
Inflexion Private Equity,Inflexion Private Equity is a London based private equity firm investing in high growth business opportunities., , , ,inflexion.com, ,London 
01 Advisors,?, ,2019, , , ,San Francisco 
NVM Private Equity,NVM Private Equity invests in growing businesses in the United Kingdom., ,1984, ,nvm.co.uk,@NVMPEltd,"Reading, Berkshire Newcastle upon Tyne Manchester Birmingham London "
Sumitomo Corporation,Sumitomo Corporation is a kabushiki gaisha founded in 1919., ,24-Dec-19, ,sumitomocorp.co.jp, ,Harumi Island Triton Square 
Cox Enterprises,Cox Enterprises is an Atlanta-based company founded by James M. Cox., , , ,coxenterprises.com,@coxenterprises,Atlanta 
EcoR1 Capital,?, ,2012, ,ecor1cap.com, ,San Francisco 
Learn Capital,Learn Capital is a venture capital firm focused on education., , , ,learncapital.com,@learncap,"San Mateo, California "
Portland Seed Fund,A microventure capital firm that invests in pre-seed and seed-stage companies in the Pacific Northwest, ,1-Aug-10, ,portlandseedfund.com,@pdxseedfund,"Portland, Oregon "
IDG Ventures,IDG Ventures is a global network of venture capital funds based in San Francisco. It was founded by the international Data Group in 1996., , , ,idgventures.com,@idgcapital,San Francisco 
DreamIt Ventures,"DreamIt Ventures is a Philadelphia-based company founded by Michael Levinson, David Bookspan and Steve Welch.", , ,dreamit.com/blog ,dreamitventures.com,@dreamit,Philadelphia 
ALLVP,ALLVP invests in Latin American founders and is an early-stage venture capital fund based in Mexico., ,2012, ,allvp.vc,@venture_p,Mexico City 
XAnge (venture capital firm),XAnge is the venture capital arm of Siparex Group investing in digital and deep technology companies in Europe., ,2004, ,xange.fr,@xangevc,Paris Munich 
Backstage Capital,"Backstage Capital is a venture capital firm that invests in companies led by women, people of color, and LGBTQ founders. ", ,2015,medium.com/greenroom ,backstagecapital.com,@backstage_cap,Los Angeles 
Monroe Capital,Monroe Capital is a provider of senior and junior debt and equity co-investments to middle market companies in the United States and Canada., ,2004, ,monroecap.com,@MonroeCap,Chicago San Francisco Los Angeles Boston New York City Atlanta 
Transamerica Ventures,A , , , ,transamericaventures.com,@transamericavc,New York City New York United States 
ff Venture Capital,A venture capital and private equity company investing in seed and early stage technology companies. , , , ,ffvc.com,@ffvc,New York City 
Bloomberg Beta,Bloomberg Beta is an early stage venture capital firm capitalized solely by Bloomberg. , , , ,bloombergbeta.com,@bloombergbeta,New York City San Francisco 
Point Judith Capital,An early stage VC firm based in Boston focusing on investments in software and tech enabled services, ,2001,pointjudithcapital.com/blog/ ,pjc.vc,@pjcventure,Boston 
Runa Capital,"A global technology-focused venture capital and private equity firm. It provides early-stage funding for cloud computing services, hosted services, virtualization tools, complex software, and IT solutions for financial technology, education, healthcare, and public services.", , ,medium.com/runa-capi...collection ,runacap.com,@runacapital,"Moscow Palo Alto, California "
